image_id_a,image_id_b,hamming,label_a,label_b,dataset_a,dataset_b,split_a,split_b,crosses_class,crosses_official_split,category
MT::exp3_num_256305,MT::exp5_num_7054,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_256305,MT::exp6_num_106244,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_256305,MT::exp6_num_320864,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_296668,MT::exp5_num_296701,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_296668,MT::exp6_num_320864,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_7023,MT::exp4_num_106203,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_7023,MT::exp4_num_351088,6,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_7023,MT::exp4_num_354427,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_7023,MT::exp5_num_106221,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_7023,MT::exp5_num_351099,4,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_7023,MT::exp5_num_7054,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_7023,MT::exp6_num_106244,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_7023,MT::exp6_num_320864,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_106203,MT::exp4_num_351088,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_106203,MT::exp4_num_354427,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_106203,MT::exp5_num_106221,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_106203,MT::exp5_num_7054,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_106203,MT::exp6_num_106244,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_262258,MT::exp5_num_296701,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_262258,MT::exp5_num_7054,10,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_262258,MT::exp6_num_106244,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_351088,MT::exp5_num_351099,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_351088,MT::exp5_num_7054,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_354427,MT::exp5_num_106221,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_354427,MT::exp5_num_351099,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_354427,MT::exp5_num_7054,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_354427,MT::exp6_num_106244,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_354427,MT::exp6_num_320864,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_106221,MT::exp5_num_7054,10,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp5_num_106221,MT::exp6_num_106244,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_106221,MT::exp6_num_320864,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_296701,MT::exp5_num_7054,10,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp5_num_296701,MT::exp6_num_106244,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_296701,MT::exp6_num_320864,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_351099,MT::exp5_num_7054,6,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp5_num_351099,MT::exp6_num_320864,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_7054,MT::exp6_num_106244,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp5_num_7054,MT::exp6_num_320864,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp6_num_106244,MT::exp6_num_320864,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_263852,MT::exp4_num_263875,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_108889,MT::exp2_num_108741,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_108889,MT::exp2_num_108923,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_108889,MT::exp3_num_108757,6,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_108889,MT::exp4_num_108774,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_108889,MT::exp5_num_108791,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_108889,MT::exp6_num_108812,8,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_108741,MT::exp2_num_108923,0,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108741,MT::exp3_num_108757,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108741,MT::exp4_num_108774,0,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108741,MT::exp5_num_108791,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108741,MT::exp6_num_108812,10,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_108923,MT::exp3_num_108757,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108923,MT::exp4_num_108774,0,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108923,MT::exp5_num_108791,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_108923,MT::exp6_num_108812,10,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_108757,MT::exp4_num_108774,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_108757,MT::exp5_num_108791,6,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_108774,MT::exp5_num_108791,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_108774,MT::exp6_num_108812,10,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_108791,MT::exp6_num_108812,8,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_10903,MT::exp5_num_10969,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_109232,MT::exp2_num_109256,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_109232,MT::exp3_num_109271,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_109232,MT::exp4_num_109286,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_109232,MT::exp5_num_109313,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_109232,MT::exp6_num_109350,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_109256,MT::exp3_num_109271,6,Uneven,Uneven,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_109256,MT::exp4_num_109286,6,Uneven,Uneven,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_109256,MT::exp5_num_109313,2,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_109256,MT::exp6_num_109350,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_109271,MT::exp4_num_109286,6,Uneven,Uneven,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_109271,MT::exp5_num_109313,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_109271,MT::exp6_num_109350,2,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_178510,MT::exp5_num_178566,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_109286,MT::exp5_num_109313,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_109286,MT::exp6_num_109350,8,Uneven,Uneven,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_109313,MT::exp6_num_109350,4,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_110086,MT::exp3_num_110136,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_110086,MT::exp5_num_110188,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_110136,MT::exp5_num_110188,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_11276,MT::exp2_num_11292,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_11276,MT::exp3_num_11304,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_11276,MT::exp6_num_11357,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_11292,MT::exp3_num_11304,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_11292,MT::exp6_num_11357,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_11304,MT::exp6_num_11357,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_308806,MT::exp2_num_308824,0,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_308806,MT::exp3_num_308837,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_308806,MT::exp5_num_308863,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_308806,MT::exp6_num_308897,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_308824,MT::exp3_num_308837,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_308824,MT::exp5_num_308863,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_308824,MT::exp6_num_308897,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_308837,MT::exp5_num_308863,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_308837,MT::exp6_num_308897,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_331958,MT::exp4_num_331970,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_331958,MT::exp5_num_331983,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_329260,MT::exp6_num_329323,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_331970,MT::exp5_num_331983,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp5_num_308863,MT::exp6_num_308897,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_116270,MT::exp2_num_116286,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_116270,MT::exp3_num_116299,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_116270,MT::exp4_num_116311,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_116270,MT::exp5_num_116324,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_116286,MT::exp3_num_116299,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_116286,MT::exp4_num_116311,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_116286,MT::exp5_num_116324,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_116299,MT::exp4_num_116311,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp3_num_116299,MT::exp5_num_116324,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_116311,MT::exp5_num_116324,0,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_116934,MT::exp2_num_116961,8,Break,Break,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_116961,MT::exp6_num_117060,10,Break,Break,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_116981,MT::exp4_num_116999,6,Break,Break,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_116981,MT::exp5_num_117030,10,Break,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_116981,MT::exp6_num_117060,8,Break,Break,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_116999,MT::exp5_num_117030,6,Break,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_116999,MT::exp6_num_117060,6,Break,Break,MT,MT,none,none,False,False,REVIEW
MT::exp5_num_117030,MT::exp6_num_117060,10,Free,Break,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_118871,MT::exp4_num_118925,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_143147,MT::exp2_num_143192,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_143147,MT::exp3_num_143234,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_143147,MT::exp5_num_143282,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_143147,MT::exp6_num_143316,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_28341,MT::exp1_num_37243,8,Uneven,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_28341,MT::exp1_num_98080,10,Uneven,Break,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_28341,MT::exp2_num_37263,10,Uneven,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_28341,MT::exp3_num_28373,2,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_28341,MT::exp3_num_37278,6,Uneven,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_28341,MT::exp4_num_28388,2,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_28341,MT::exp4_num_37293,6,Uneven,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_28341,MT::exp5_num_28404,2,Uneven,Uneven,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_28341,MT::exp5_num_37319,10,Uneven,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_28341,MT::exp6_num_28424,6,Uneven,Uneven,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_28341,MT::exp6_num_37354,10,Uneven,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_37243,MT::exp2_num_37263,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_37243,MT::exp3_num_28373,10,Free,Uneven,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_37243,MT::exp3_num_37278,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_37243,MT::exp4_num_28388,10,Free,Uneven,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_37243,MT::exp4_num_37293,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_37243,MT::exp5_num_28404,10,Free,Uneven,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_37243,MT::exp5_num_37319,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_37243,MT::exp6_num_37354,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp1_num_86828,0,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp2_num_85846,6,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_85781,MT::exp2_num_86854,4,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp3_num_85897,0,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp3_num_86892,0,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp4_num_85602,8,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_85781,MT::exp4_num_85998,8,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_85781,MT::exp4_num_88149,10,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_85781,MT::exp5_num_85642,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp5_num_86031,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp5_num_88170,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp6_num_85665,4,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp6_num_86064,4,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_85781,MT::exp6_num_88201,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp2_num_85846,6,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_86828,MT::exp2_num_86854,4,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp3_num_85897,0,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp3_num_86892,0,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp4_num_85602,8,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_86828,MT::exp4_num_85998,8,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_86828,MT::exp4_num_88149,10,Crack,Crack,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_86828,MT::exp5_num_85642,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp5_num_86031,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp5_num_88170,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp6_num_85665,4,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp6_num_86064,4,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_86828,MT::exp6_num_88201,2,Crack,Crack,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_98080,MT::exp2_num_37263,10,Break,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_98080,MT::exp3_num_28373,10,Break,Uneven,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_98080,MT::exp4_num_28388,10,Break,Uneven,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_98080,MT::exp5_num_28404,10,Break,Uneven,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_98080,MT::exp5_num_37319,8,Break,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_98080,MT::exp6_num_37354,10,Break,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_143192,MT::exp3_num_143234,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_143192,MT::exp5_num_143282,6,Free,Free,MT,MT,none,none,False,False,REVIEW
