dataset,image_id,family,severity,frac_saturated,mean_abs_delta,problems
MT,MT::exp5_num_297552,scanline_banding,2,0.0244,4.931344822997072,
MT,MT::exp5_num_297552,scanline_banding,3,0.0266,8.98610926270961,
MT,MT::exp5_num_297552,scanline_banding,4,0.0293,13.83384349214799,
MT,MT::exp5_num_297552,scanline_banding,5,0.0323,20.263025685387277,
MT,MT::exp5_num_297552,illumination_gradient,1,0.0551,4.814063747671014,
MT,MT::exp5_num_297552,illumination_gradient,2,0.0643,9.407206547777482,
MT,MT::exp5_num_297552,illumination_gradient,3,0.0736,14.738887410167687,
MT,MT::exp5_num_297552,illumination_gradient,4,0.0838,20.761395395262177,
MT,MT::exp5_num_297552,illumination_gradient,5,0.0939,27.42944836305563,
MT,MT::exp5_num_297552,brightness_drift,1,0.0,15.999983364386479,
MT,MT::exp5_num_297552,brightness_drift,2,0.0006,30.997970455150387,
MT,MT::exp5_num_297552,brightness_drift,3,0.0051,50.94548509449029,
MT,MT::exp5_num_297552,brightness_drift,4,0.039,76.56489552834708,
MT,MT::exp5_num_297552,brightness_drift,5,0.2192,104.11380423210008,
MT,MT::exp5_num_297552,contrast_loss,1,0.0,5.4772757519297315,
MT,MT::exp5_num_297552,contrast_loss,2,0.0,9.630456481235028,
MT,MT::exp5_num_297552,contrast_loss,3,0.0,13.748269896193772,
MT,MT::exp5_num_297552,contrast_loss,4,0.0,17.615767234495607,
MT,MT::exp5_num_297552,contrast_loss,5,0.0,20.944753127495343,
MT,MT::exp5_num_297552,jpeg,1,0.0344,3.816359462336971,
MT,MT::exp5_num_297552,jpeg,2,0.0339,4.511295581581049,
MT,MT::exp5_num_297552,jpeg,3,0.0342,5.164093691775353,
MT,MT::exp5_num_297552,jpeg,4,0.0368,6.037496672877296,
MT,MT::exp5_num_297552,jpeg,5,0.0057,7.332795448496141,
MT,MT::exp1_num_297464,defocus_blur,1,0.0,2.3843505477308296,
MT,MT::exp1_num_297464,defocus_blur,2,0.0,3.4856894453138585,
MT,MT::exp1_num_297464,defocus_blur,3,0.0,3.8082768214223615,
MT,MT::exp1_num_297464,defocus_blur,4,0.0,4.196539732220484,
MT,MT::exp1_num_297464,defocus_blur,5,0.0,4.413232481307599,
MT,MT::exp1_num_297464,motion_blur,1,0.0,3.099339245348635,
MT,MT::exp1_num_297464,motion_blur,2,0.0,3.7335941575378193,
MT,MT::exp1_num_297464,motion_blur,3,0.0,4.024256651017215,
MT,MT::exp1_num_297464,motion_blur,4,0.0,4.2945574682663885,
MT,MT::exp1_num_297464,motion_blur,5,0.0,4.496557120500783,
MT,MT::exp1_num_297464,vignetting,1,0.0,7.074873934967831,
MT,MT::exp1_num_297464,vignetting,2,0.0,13.70735524256651,
MT,MT::exp1_num_297464,vignetting,3,0.0,20.33947139627891,
MT,MT::exp1_num_297464,vignetting,4,0.0045,27.852912536950097,
MT,MT::exp1_num_297464,vignetting,5,0.0851,35.095774647887325,
MT,MT::exp1_num_297464,lens_contamination,1,0.0008,0.23933229003651538,
MT,MT::exp1_num_297464,lens_contamination,2,0.0,0.6981394540079986,
MT,MT::exp1_num_297464,lens_contamination,3,0.0,1.1570509476612763,
MT,MT::exp1_num_297464,lens_contamination,4,0.0,1.8556424969570509,
MT,MT::exp1_num_297464,lens_contamination,5,0.0,2.4465136498000346,
MT,MT::exp1_num_297464,vibration_jitter,1,0.0,3.437715179968701,
MT,MT::exp1_num_297464,vibration_jitter,2,0.0,4.524917405668579,
MT,MT::exp1_num_297464,vibration_jitter,3,0.0,5.0907842114414885,
MT,MT::exp1_num_297464,vibration_jitter,4,0.0,5.926812728221179,
MT,MT::exp1_num_297464,vibration_jitter,5,0.0,6.870474700052164,
MT,MT::exp1_num_297464,gaussian_noise,1,0.0007,6.096157190053904,
MT,MT::exp1_num_297464,gaussian_noise,2,0.0016,12.17276415695821,
MT,MT::exp1_num_297464,gaussian_noise,3,0.0151,20.150466585521357,
MT,MT::exp1_num_297464,gaussian_noise,4,0.0706,31.14384165072741,
MT,MT::exp1_num_297464,gaussian_noise,5,0.1554,43.659143337390596,
MT,MT::exp1_num_297464,shot_noise,1,0.0013,11.601559149133484,
MT,MT::exp1_num_297464,shot_noise,2,0.0028,17.44507042253521,
MT,MT::exp1_num_297464,shot_noise,3,0.0343,26.60417318727178,
MT,MT::exp1_num_297464,shot_noise,4,0.1887,38.743389555439634,
MT,MT::exp1_num_297464,shot_noise,5,0.5187,59.43726888077436,
MT,MT::exp1_num_297464,scanline_banding,1,0.0003,1.3166927490871152,
MT,MT::exp1_num_297464,scanline_banding,2,0.0005,2.609111458876717,
MT,MT::exp1_num_297464,scanline_banding,3,0.0007,4.768666318901061,
MT,MT::exp1_num_297464,scanline_banding,4,0.0012,7.342653451573639,
MT,MT::exp1_num_297464,scanline_banding,5,0.0016,10.785185185185185,
MT,MT::exp1_num_297464,illumination_gradient,1,0.0023,3.2054946965745086,
MT,MT::exp1_num_297464,illumination_gradient,2,0.0039,6.354790471222396,
MT,MT::exp1_num_297464,illumination_gradient,3,0.0061,10.102538688923666,
MT,MT::exp1_num_297464,illumination_gradient,4,0.0106,14.383289862632585,
MT,MT::exp1_num_297464,illumination_gradient,5,0.0156,19.15320813771518,
MT,MT::exp1_num_297464,brightness_drift,1,0.0,16.0,
MT,MT::exp1_num_297464,brightness_drift,2,0.0014,30.995148669796556,
MT,MT::exp1_num_297464,brightness_drift,3,0.1653,49.96308468092506,
MT,MT::exp1_num_297464,brightness_drift,4,0.8504,62.84985219961746,
MT,MT::exp1_num_297464,brightness_drift,5,0.9379,65.69088854112329,
MT,MT::exp1_num_297464,contrast_loss,1,0.0,2.843435924187098,
MT,MT::exp1_num_297464,contrast_loss,2,0.0,5.029647017909928,
MT,MT::exp1_num_297464,contrast_loss,3,0.0,7.29321857068336,
MT,MT::exp1_num_297464,contrast_loss,4,0.0,9.321613632411754,
MT,MT::exp1_num_297464,contrast_loss,5,0.0,11.065345157363936,
MT,MT::exp1_num_297464,jpeg,1,0.0005,2.5925752043122934,
MT,MT::exp1_num_297464,jpeg,2,0.0004,3.0282559554860025,
MT,MT::exp1_num_297464,jpeg,3,0.0006,3.3765779864371415,
MT,MT::exp1_num_297464,jpeg,4,0.0004,3.883985393844549,
MT,MT::exp1_num_297464,jpeg,5,0.0005,4.9205007824726135,
MT,MT::exp4_num_328029,defocus_blur,1,0.0,2.0744408509818713,
MT,MT::exp4_num_328029,defocus_blur,2,0.0,3.552062852602942,
MT,MT::exp4_num_328029,defocus_blur,3,0.0,4.059995666444639,
MT,MT::exp4_num_328029,defocus_blur,4,0.0,4.743397346901107,
MT,MT::exp4_num_328029,defocus_blur,5,0.0,5.115232447094511,
MT,MT::exp4_num_328029,motion_blur,1,0.0,2.999598744873966,
MT,MT::exp4_num_328029,motion_blur,2,0.0,3.934434912406006,
MT,MT::exp4_num_328029,motion_blur,3,0.0,4.528541277114815,
MT,MT::exp4_num_328029,motion_blur,4,0.0,5.008610935004695,
MT,MT::exp4_num_328029,motion_blur,5,0.0,5.336677126050286,
MT,MT::exp4_num_328029,vignetting,1,0.0,10.159145808087699,
MT,MT::exp4_num_328029,vignetting,2,0.0,19.879767914035103,
MT,MT::exp4_num_328029,vignetting,3,0.0,29.59972393647329,
MT,MT::exp4_num_328029,vignetting,4,0.0043,40.613366610758455,
MT,MT::exp4_num_328029,vignetting,5,0.0831,51.57200523236684,
MT,MT::exp4_num_328029,lens_contamination,1,0.0,0.8317537256538452,
MT,MT::exp4_num_328029,lens_contamination,2,0.0,1.4056047316004463,
MT,MT::exp4_num_328029,lens_contamination,3,0.0,1.879559261369564,
MT,MT::exp4_num_328029,lens_contamination,4,0.0,3.2749239621536166,
MT,MT::exp4_num_328029,lens_contamination,5,0.0,5.440208973669638,
MT,MT::exp4_num_328029,vibration_jitter,1,0.0,1.711601890714154,
MT,MT::exp4_num_328029,vibration_jitter,2,0.0,2.261473890328949,
MT,MT::exp4_num_328029,vibration_jitter,3,0.0,2.9411438981132982,
MT,MT::exp4_num_328029,vibration_jitter,4,0.0,3.4210289786452024,
MT,MT::exp4_num_328029,vibration_jitter,5,0.0,3.9435113033569005,
MT,MT::exp4_num_328029,gaussian_noise,1,0.0,6.119295824004151,
MT,MT::exp4_num_328029,gaussian_noise,2,0.0008,12.222126812670032,
MT,MT::exp4_num_328029,gaussian_noise,3,0.0055,20.31629604068192,
MT,MT::exp4_num_328029,gaussian_noise,4,0.022,32.18252025669628,
MT,MT::exp4_num_328029,gaussian_noise,5,0.074,46.78210241635837,
MT,MT::exp4_num_328029,shot_noise,1,0.0001,14.917624997659345,
MT,MT::exp4_num_328029,shot_noise,2,0.0016,22.541258389575926,
MT,MT::exp4_num_328029,shot_noise,3,0.0225,34.24300277936051,
MT,MT::exp4_num_328029,shot_noise,4,0.1264,49.05379226219615,
MT,MT::exp4_num_328029,shot_noise,5,0.4456,71.45776254791654,
MT,MT::exp4_num_328029,scanline_banding,1,0.0,2.1311462253930293,
MT,MT::exp4_num_328029,scanline_banding,2,0.0,4.2498535418789976,
MT,MT::exp4_num_328029,scanline_banding,3,0.0,7.770120938294987,
MT,MT::exp4_num_328029,scanline_banding,4,0.0,12.002150727475543,
MT,MT::exp4_num_328029,scanline_banding,5,0.0001,17.646413982938633,
MT,MT::exp4_num_328029,illumination_gradient,1,0.0,3.844417337431486,
MT,MT::exp4_num_328029,illumination_gradient,2,0.0001,7.661132020961568,
MT,MT::exp4_num_328029,illumination_gradient,3,0.0002,12.251201759102473,
MT,MT::exp4_num_328029,illumination_gradient,4,0.0008,17.60350375976053,
MT,MT::exp4_num_328029,illumination_gradient,5,0.0037,23.68553635772697,
MT,MT::exp4_num_328029,brightness_drift,1,0.0001,14.99952651895128,
MT,MT::exp4_num_328029,brightness_drift,2,0.0001,29.99824250254797,
MT,MT::exp4_num_328029,brightness_drift,3,0.0005,50.99240022791291,
MT,MT::exp4_num_328029,brightness_drift,4,0.0054,75.94572623165261,
MT,MT::exp4_num_328029,brightness_drift,5,0.0838,106.07449702669952,
MT,MT::exp4_num_328029,contrast_loss,1,0.0,5.257686041939186,
MT,MT::exp4_num_328029,contrast_loss,2,0.0,9.133048174690432,
MT,MT::exp4_num_328029,contrast_loss,3,0.0,12.965034628317376,
MT,MT::exp4_num_328029,contrast_loss,4,0.0,16.616913706072594,
MT,MT::exp4_num_328029,contrast_loss,5,0.0,19.69704435474163,
MT,MT::exp4_num_328029,jpeg,1,0.0,2.357253488913321,
MT,MT::exp4_num_328029,jpeg,2,0.0,2.827917726648958,
MT,MT::exp4_num_328029,jpeg,3,0.0,3.2922662087008163,
MT,MT::exp4_num_328029,jpeg,4,0.0,3.978645202192458,
MT,MT::exp4_num_328029,jpeg,5,0.0,5.226540619056409,
MT,MT::exp4_num_40450,defocus_blur,1,0.0001,4.700989547038327,
MT,MT::exp4_num_40450,defocus_blur,2,0.0,7.212766550522648,
MT,MT::exp4_num_40450,defocus_blur,3,0.0,8.222940766550522,
MT,MT::exp4_num_40450,defocus_blur,4,0.0,9.649393728222996,
MT,MT::exp4_num_40450,defocus_blur,5,0.0,10.431275261324041,
MT,MT::exp4_num_40450,motion_blur,1,0.0,7.406606271777004,
MT,MT::exp4_num_40450,motion_blur,2,0.0,9.20342857142857,
MT,MT::exp4_num_40450,motion_blur,3,0.0,10.099790940766551,
MT,MT::exp4_num_40450,motion_blur,4,0.0,10.9114425087108,
MT,MT::exp4_num_40450,motion_blur,5,0.0,11.49998606271777,
MT,MT::exp4_num_40450,vignetting,1,0.0,13.03191637630662,
MT,MT::exp4_num_40450,vignetting,2,0.0,25.620961672473868,
MT,MT::exp4_num_40450,vignetting,3,0.0,38.21296167247387,
MT,MT::exp4_num_40450,vignetting,4,0.0038,52.47779790940766,
MT,MT::exp4_num_40450,vignetting,5,0.0806,66.5396236933798,
MT,MT::exp4_num_40450,lens_contamination,1,0.0028,0.13128919860627178,
MT,MT::exp4_num_40450,lens_contamination,2,0.0005,0.5537282229965157,
MT,MT::exp4_num_40450,lens_contamination,3,0.0005,1.0368501742160279,
MT,MT::exp4_num_40450,lens_contamination,4,0.0003,1.968334494773519,
MT,MT::exp4_num_40450,lens_contamination,5,0.0001,2.8160557491289198,
MT,MT::exp4_num_40450,vibration_jitter,1,0.0,6.887135888501742,
MT,MT::exp4_num_40450,vibration_jitter,2,0.0,9.807052264808362,
MT,MT::exp4_num_40450,vibration_jitter,3,0.0,11.438801393728223,
MT,MT::exp4_num_40450,vibration_jitter,4,0.0,13.581156794425087,
MT,MT::exp4_num_40450,vibration_jitter,5,0.0,15.286048780487805,
MT,MT::exp4_num_40450,gaussian_noise,1,0.0025,6.1066016260162606,
MT,MT::exp4_num_40450,gaussian_noise,2,0.0033,12.192873403019744,
MT,MT::exp4_num_40450,gaussian_noise,3,0.0051,20.294662020905925,
MT,MT::exp4_num_40450,gaussian_noise,4,0.0148,32.304706155632985,
MT,MT::exp4_num_40450,gaussian_noise,5,0.0624,47.190132404181185,
MT,MT::exp4_num_40450,shot_noise,1,0.0044,16.54767944250871,
MT,MT::exp4_num_40450,shot_noise,2,0.0097,24.99433217189315,
MT,MT::exp4_num_40450,shot_noise,3,0.0364,37.50765156794425,
MT,MT::exp4_num_40450,shot_noise,4,0.1327,52.958996515679445,
MT,MT::exp4_num_40450,shot_noise,5,0.4333,75.49731010452962,
MT,MT::exp4_num_40450,scanline_banding,1,0.0024,2.6347317073170733,
MT,MT::exp4_num_40450,scanline_banding,2,0.003,5.233337979094077,
MT,MT::exp4_num_40450,scanline_banding,3,0.0037,9.565797909407666,
MT,MT::exp4_num_40450,scanline_banding,4,0.0046,14.754397212543553,
MT,MT::exp4_num_40450,scanline_banding,5,0.0064,21.651205574912893,
MT,MT::exp4_num_40450,illumination_gradient,1,0.0,4.444682926829269,
MT,MT::exp4_num_40450,illumination_gradient,2,0.0,8.873198606271776,
MT,MT::exp4_num_40450,illumination_gradient,3,0.0003,14.189407665505227,
MT,MT::exp4_num_40450,illumination_gradient,4,0.0006,20.3922787456446,
MT,MT::exp4_num_40450,illumination_gradient,5,0.002,27.46411149825784,
MT,MT::exp4_num_40450,brightness_drift,1,0.0004,15.999247386759581,
MT,MT::exp4_num_40450,brightness_drift,2,0.0021,30.978675958188152,
MT,MT::exp4_num_40450,brightness_drift,3,0.0069,50.91261324041812,
MT,MT::exp4_num_40450,brightness_drift,4,0.0337,76.46765156794424,
MT,MT::exp4_num_40450,brightness_drift,5,0.1141,105.45003484320557,
MT,MT::exp4_num_40450,contrast_loss,1,0.0,3.923344947735192,
MT,MT::exp4_num_40450,contrast_loss,2,0.0,6.823219512195122,
MT,MT::exp4_num_40450,contrast_loss,3,0.0,9.738843205574913,
MT,MT::exp4_num_40450,contrast_loss,4,0.0,12.478076655052265,
MT,MT::exp4_num_40450,contrast_loss,5,0.0,14.801170731707318,
MT,MT::exp4_num_40450,jpeg,1,0.0023,3.9926968641114984,
MT,MT::exp4_num_40450,jpeg,2,0.0018,4.774745644599303,
MT,MT::exp4_num_40450,jpeg,3,0.0023,5.455191637630662,
MT,MT::exp4_num_40450,jpeg,4,0.0024,6.3976864111498255,
MT,MT::exp4_num_40450,jpeg,5,0.003,7.760724738675958,
MT,MT::exp3_num_40438,defocus_blur,1,0.0,3.973038049940547,
MT,MT::exp3_num_40438,defocus_blur,2,0.0,5.855737217598097,
MT,MT::exp3_num_40438,defocus_blur,3,0.0,6.575356718192628,
MT,MT::exp3_num_40438,defocus_blur,4,0.0,7.431985731272295,
MT,MT::exp3_num_40438,defocus_blur,5,0.0,8.009928656361474,
MT,MT::exp3_num_40438,motion_blur,1,0.0,4.492865636147443,
MT,MT::exp3_num_40438,motion_blur,2,0.0,5.840011890606421,
MT,MT::exp3_num_40438,motion_blur,3,0.0,6.561652794292509,
MT,MT::exp3_num_40438,motion_blur,4,0.0,7.338941736028538,
MT,MT::exp3_num_40438,motion_blur,5,0.0,7.797829964328181,
MT,MT::exp3_num_40438,vignetting,1,0.0,11.636593341260404,
MT,MT::exp3_num_40438,vignetting,2,0.0,22.83305588585018,
MT,MT::exp3_num_40438,vignetting,3,0.0,34.02782401902497,
MT,MT::exp3_num_40438,vignetting,4,0.0032,46.714239001189064,
MT,MT::exp3_num_40438,vignetting,5,0.0807,59.10225921521997,
MT,MT::exp3_num_40438,lens_contamination,1,0.0006,0.2668252080856124,
MT,MT::exp3_num_40438,lens_contamination,2,0.0006,0.4947978596908442,
MT,MT::exp3_num_40438,lens_contamination,3,0.0006,1.0569560047562425,
MT,MT::exp3_num_40438,lens_contamination,4,0.0006,1.6998216409036861,
MT,MT::exp3_num_40438,lens_contamination,5,0.0006,2.5037158145065397,
MT,MT::exp3_num_40438,vibration_jitter,1,0.0,3.424464922711058,
MT,MT::exp3_num_40438,vibration_jitter,2,0.0,4.642419738406659,
MT,MT::exp3_num_40438,vibration_jitter,3,0.0,6.039239001189061,
MT,MT::exp3_num_40438,vibration_jitter,4,0.0,7.272800237812128,
MT,MT::exp3_num_40438,vibration_jitter,5,0.0,8.214001189060642,
MT,MT::exp3_num_40438,gaussian_noise,1,0.0005,6.125733254062624,
MT,MT::exp3_num_40438,gaussian_noise,2,0.0006,12.236979785969085,
MT,MT::exp3_num_40438,gaussian_noise,3,0.0012,20.383323424494648,
MT,MT::exp3_num_40438,gaussian_noise,4,0.0072,32.52139318271899,
MT,MT::exp3_num_40438,gaussian_noise,5,0.0502,47.73178755449861,
MT,MT::exp3_num_40438,shot_noise,1,0.0012,15.596413000396353,
MT,MT::exp3_num_40438,shot_noise,2,0.0021,23.476218787158146,
MT,MT::exp3_num_40438,shot_noise,3,0.0144,35.632084819659134,
MT,MT::exp3_num_40438,shot_noise,4,0.1012,51.24848394768133,
MT,MT::exp3_num_40438,shot_noise,5,0.4196,74.19808759413397,
MT,MT::exp3_num_40438,scanline_banding,1,0.0007,2.321938168846611,
MT,MT::exp3_num_40438,scanline_banding,2,0.0007,4.618043995243758,
MT,MT::exp3_num_40438,scanline_banding,3,0.0009,8.445868014268727,
MT,MT::exp3_num_40438,scanline_banding,4,0.0013,13.04628418549346,
MT,MT::exp3_num_40438,scanline_banding,5,0.0018,19.165844233055886,
MT,MT::exp3_num_40438,illumination_gradient,1,0.0015,4.624821640903686,
MT,MT::exp3_num_40438,illumination_gradient,2,0.0022,9.230885850178359,
MT,MT::exp3_num_40438,illumination_gradient,3,0.0034,14.742895362663496,
MT,MT::exp3_num_40438,illumination_gradient,4,0.0059,21.14515457788347,
MT,MT::exp3_num_40438,illumination_gradient,5,0.0102,28.38525564803805,
MT,MT::exp3_num_40438,brightness_drift,1,0.0,16.0,
MT,MT::exp3_num_40438,brightness_drift,2,0.0,31.0,
MT,MT::exp3_num_40438,brightness_drift,3,0.0001,50.99973246135553,
MT,MT::exp3_num_40438,brightness_drift,4,0.0234,76.74705707491081,
MT,MT::exp3_num_40438,brightness_drift,5,0.2293,105.18219381688466,
MT,MT::exp3_num_40438,contrast_loss,1,0.0,2.89384661117717,
MT,MT::exp3_num_40438,contrast_loss,2,0.0,5.03641498216409,
MT,MT::exp3_num_40438,contrast_loss,3,0.0,7.208026159334126,
MT,MT::exp3_num_40438,contrast_loss,4,0.0,9.234155766944115,
MT,MT::exp3_num_40438,contrast_loss,5,0.0,10.966736028537456,
MT,MT::exp3_num_40438,jpeg,1,0.0004,3.6550832342449464,
MT,MT::exp3_num_40438,jpeg,2,0.0006,4.307491082045185,
MT,MT::exp3_num_40438,jpeg,3,0.0004,4.932372175980975,
MT,MT::exp3_num_40438,jpeg,4,0.0006,5.724940546967895,
MT,MT::exp3_num_40438,jpeg,5,0.0001,7.093906064209275,
MT,MT::exp2_num_108923,defocus_blur,1,0.0,2.6165333333333334,
MT,MT::exp2_num_108923,defocus_blur,2,0.0,3.986777358490566,
MT,MT::exp2_num_108923,defocus_blur,3,0.0,4.386988679245283,
MT,MT::exp2_num_108923,defocus_blur,4,0.0,4.854470440251572,
MT,MT::exp2_num_108923,defocus_blur,5,0.0,5.069896855345912,
MT,MT::exp2_num_108923,motion_blur,1,0.0,4.024402515723271,
MT,MT::exp2_num_108923,motion_blur,2,0.0,4.63908427672956,
MT,MT::exp2_num_108923,motion_blur,3,0.0,4.898676729559749,
MT,MT::exp2_num_108923,motion_blur,4,0.0,5.150238993710691,
MT,MT::exp2_num_108923,motion_blur,5,0.0,5.431355974842767,
MT,MT::exp2_num_108923,vignetting,1,0.0,7.826062893081761,
MT,MT::exp2_num_108923,vignetting,2,0.0,15.212880503144653,
MT,MT::exp2_num_108923,vignetting,3,0.0,22.600060377358492,
MT,MT::exp2_num_108923,vignetting,4,0.0056,30.968181132075472,
MT,MT::exp2_num_108923,vignetting,5,0.085,39.37161257861635,
MT,MT::exp2_num_108923,lens_contamination,1,0.0,0.34202767295597486,
MT,MT::exp2_num_108923,lens_contamination,2,0.0,0.659622641509434,
MT,MT::exp2_num_108923,lens_contamination,3,0.0,1.2158088050314466,
MT,MT::exp2_num_108923,lens_contamination,4,0.0,2.059693081761006,
MT,MT::exp2_num_108923,lens_contamination,5,0.0,2.8143698113207547,
MT,MT::exp2_num_108923,vibration_jitter,1,0.0,3.392,
MT,MT::exp2_num_108923,vibration_jitter,2,0.0,4.051361006289309,
MT,MT::exp2_num_108923,vibration_jitter,3,0.0,4.913489308176101,
MT,MT::exp2_num_108923,vibration_jitter,4,0.0,5.37954213836478,
MT,MT::exp2_num_108923,vibration_jitter,5,0.0,5.929781132075472,
MT,MT::exp2_num_108923,gaussian_noise,1,0.0,6.110668343815513,
MT,MT::exp2_num_108923,gaussian_noise,2,0.0022,12.196095597484277,
MT,MT::exp2_num_108923,gaussian_noise,3,0.012,20.207389517819706,
MT,MT::exp2_num_108923,gaussian_noise,4,0.0414,31.736576939203353,
MT,MT::exp2_num_108923,gaussian_noise,5,0.1067,45.536989517819705,
MT,MT::exp2_num_108923,shot_noise,1,0.0,13.0883857442348,
MT,MT::exp2_num_108923,shot_noise,2,0.0015,19.746864570230606,
MT,MT::exp2_num_108923,shot_noise,3,0.0243,30.14465744234801,
MT,MT::exp2_num_108923,shot_noise,4,0.1435,43.87352620545073,
MT,MT::exp2_num_108923,shot_noise,5,0.4703,63.731384486373166,
MT,MT::exp2_num_108923,scanline_banding,1,0.0,1.672211320754717,
MT,MT::exp2_num_108923,scanline_banding,2,0.0,3.3112251572327045,
MT,MT::exp2_num_108923,scanline_banding,3,0.0,6.054983647798742,
MT,MT::exp2_num_108923,scanline_banding,4,0.0,9.35457610062893,
MT,MT::exp2_num_108923,scanline_banding,5,0.0001,13.74657610062893,
MT,MT::exp2_num_108923,illumination_gradient,1,0.0,4.266807547169812,
MT,MT::exp2_num_108923,illumination_gradient,2,0.0,8.516065408805032,
MT,MT::exp2_num_108923,illumination_gradient,3,0.0,13.617700628930818,
MT,MT::exp2_num_108923,illumination_gradient,4,0.0,19.573534591194967,
MT,MT::exp2_num_108923,illumination_gradient,5,0.0,26.38210817610063,
MT,MT::exp2_num_108923,brightness_drift,1,0.0,15.0,
MT,MT::exp2_num_108923,brightness_drift,2,0.0,29.999798742138363,
MT,MT::exp2_num_108923,brightness_drift,3,0.0002,50.99768553459119,
MT,MT::exp2_num_108923,brightness_drift,4,0.0018,75.97973333333333,
MT,MT::exp2_num_108923,brightness_drift,5,0.0145,106.79384150943396,
MT,MT::exp2_num_108923,contrast_loss,1,0.0,4.174319496855346,
MT,MT::exp2_num_108923,contrast_loss,2,0.0,7.257459119496855,
MT,MT::exp2_num_108923,contrast_loss,3,0.0,10.367174842767296,
MT,MT::exp2_num_108923,contrast_loss,4,0.0,13.246500628930818,
MT,MT::exp2_num_108923,contrast_loss,5,0.0,15.735094339622641,
MT,MT::exp2_num_108923,jpeg,1,0.0,2.7616201257861634,
MT,MT::exp2_num_108923,jpeg,2,0.0,3.2593408805031445,
MT,MT::exp2_num_108923,jpeg,3,0.0,3.6823245283018866,
MT,MT::exp2_num_108923,jpeg,4,0.0,4.307451572327044,
MT,MT::exp2_num_108923,jpeg,5,0.0,5.424754716981132,
MT,MT::exp5_num_36269,defocus_blur,1,0.0,6.1111784920153625,
MT,MT::exp5_num_36269,defocus_blur,2,0.0,9.092205954546767,
MT,MT::exp5_num_36269,defocus_blur,3,0.0,9.95252534003292,
MT,MT::exp5_num_36269,defocus_blur,4,0.0,10.81818706864189,
MT,MT::exp5_num_36269,defocus_blur,5,0.0,11.26168818042681,
MT,MT::exp5_num_36269,motion_blur,1,0.0,8.458113142164082,
MT,MT::exp5_num_36269,motion_blur,2,0.0,10.169251205636893,
MT,MT::exp5_num_36269,motion_blur,3,0.0,10.779086892488955,
MT,MT::exp5_num_36269,motion_blur,4,0.0,11.245949926362297,
MT,MT::exp5_num_36269,motion_blur,5,0.0,11.525802073406682,
MT,MT::exp5_num_36269,vignetting,1,0.0001,11.279361229027694,
MT,MT::exp5_num_36269,vignetting,2,0.0001,22.122094198504143,
MT,MT::exp5_num_36269,vignetting,3,0.0001,32.967339513124834,
